,letra,indice_anterior,indice_binario
0,"
",0,0
388,", s",100,001100100
389,sim,342,101010110
390,mpl,385,110000001
391,le c,361,101101001
392,com,71,001000111
393,mo u,274,100010010
394,un ,155,010011011
395, an,192,011000000
396,ni,24,000011000
397,ill,343,101010111
398,lo.,128,010000000
399,".
E",118,001110110
400,Er,7,000000111
401,res,122,001111010
402,s como,284,100011100
403,o l,54,000110110
404,la n,246,011110110
405,noc,110,001101110
406,ch,15,000001111
407,he,19,000010011
408,"e, ",80,001010000
409, call,336,101010000
410,lada,146,010010010
411,a y,167,010100111
412,y c,83,001010011
413,cons,367,101101111
414,ste,44,000101100
415,ela,340,101010100
416,ad,13,000001101
417,da.,177,010110001
418,".
T",118,001110110
419,Tu,10,000001010
420,u s,370,101110010
421,sile,372,101110100
422,enc,77,001001101
423,cio,345,101011001
424,o e,54,000110110
425,es de,201,011001001
426,e es,66,001000010
427,str,44,000101100
428,rel,122,001111010
429,"lla,",268,100001100
430,", ta",230,011100110
431,an l,143,010001111
432,lej,95,001011111
433,jan,330,101001010
434,no y,318,100111110
435,y s,83,001010011
436,sen,134,010000110
437,nci,253,011111101
438,illo,397,110001101
439,"o.

",350,101011110
440,"
Me",258,100000010
441,e g,40,000101000
442,gus,42,000101010
443,stas,277,100010101
444,s cua,263,100000111
445,and,51,000110011
446,do ,53,000110101
447, calla,409,110011001
448,as p,59,000111011
449,por,61,000111101
450,rqu,63,000111111
451,ue e,153,010011001
452,estás ,283,100011011
453, como,273,100010001
454,o au,74,001001010
455,usen,76,001001100
456,nte,78,001001110
457,e.,17,000010001
458,".
D",118,001110110
459,Di,6,000000110
460,ist,276,100010100
461,tan,45,000101101
462,nte ,456,111001000
463, y ,101,001100101
464, do,90,001011010
465,olo,145,010010001
466,oro,62,000111110
467,osa c,295,100100111
468,como,392,110001000
469,o s,54,000110110
470,si ,342,101010110
471, h,1,000000001
472,hub,137,010001001
473,bie,139,010001011
474,era,141,010001101
475,as m,59,000111011
476,mu,23,000010111
477,uer,65,001000001
478,rt,28,000011100
479,to.,114,001110010
480,".
U",118,001110110
481,Un,11,000001011
482,na p,382,101111110
483,pal,232,011101000
484,labr,248,011111000
485,ra e,165,010100101
486,ent,77,001001101
487,ton,114,001110010
488,nce,253,011111101
489,"es,",67,001000011
490,", u",100,001100100
491,una,155,010011011
492,a s,167,010100111
493,so,29,000011101
494,on,25,000011001
495,nr,24,000011000
496,ris,293,100100101
497,sa ,223,011011111
498, ba,157,010011101
499,ast,46,000101110
500,tan.,461,111001101
501,".
Y e",303,100101111
502,esto,183,010110111
503,oy ,87,001010111
504, ale,213,011010101
505,eg,17,000010001
506,gr,18,000010010
507,"re,",122,001111010
508,", a",100,001100100
509,ale,56,000111000
510,egr,505,111111001
511,re ,122,001111010
512, de,90,0001011010
513,e que ,355,0101100011
514, no,109,0001101101
515,o se,469,0111010101
516,ea,17,0000010001
517,a c,167,0010100111
518,cie,345,0101011001
519,ert,141,0010001101
520,"to.
",479,0111011111
521,"
",0,0000000000
